iter	Passed	Remaining
214	4660	17017
215	4679	16983
216	4696	16946
217	4715	16914
218	4735	16888
219	4755	16859
220	4775	16831
221	4792	16795
222	4811	16764
223	4830	16733
224	4849	16704
225	4868	16673
226	4886	16640
227	4910	16628
228	4933	16608
229	4956	16592
230	4976	16566
231	4995	16536
232	5016	16514
233	5035	16484
234	5056	16459
235	5075	16430
236	5095	16403
237	5115	16377
238	5133	16345
239	5150	16309
240	5169	16279
241	5186	16244
242	5205	16216
243	5224	16187
244	5243	16157
245	5265	16139
246	5285	16114
247	5304	16084
248	5323	16054
249	5341	16025
250	5359	15993
251	5379	15967
252	5397	15937
253	5418	15914
254	5438	15888
255	5458	15865
256	5480	15845
257	5507	15839
258	5527	15813
259	5546	15785
260	5566	15759
261	5587	15737
262	5611	15725
263	5635	15712
264	5657	15690
265	5677	15666
266	5696	15638
267	5714	15608
268	5733	15579
269	5750	15548
270	5768	15518
271	5786	15487
272	5805	15458
273	5824	15432
274	5843	15404
275	5862	15378
276	5880	15347
277	5903	15332
278	5924	15310
279	5946	15291
280	5965	15265
281	5984	15237
282	6003	15209
283	6019	15176
284	6038	15148
285	6058	15125
286	6079	15102
287	6098	15076
288	6117	15051
289	6138	15028
290	6157	15002
291	6177	14978
292	6197	14954
293	6217	14930
294	6237	14906
295	6257	14883
296	6277	14858
297	6297	14834
298	6316	14809
299	6338	14789
300	6359	14767
301	6379	14744
302	6399	14721
303	6419	14696
304	6438	14672
305	6458	14647
306	6478	14623
307	6499	14601
308	6524	14591
309	6544	14566
310	6564	14543
311	6583	14518
312	6603	14493
313	6623	14469
314	6642	14444
315	6662	14421
316	6681	14396
317	6700	14371
318	6720	14346
319	6739	14322
320	6759	14298
321	6779	14275
322	6799	14251
323	6820	14229
324	6841	14210
325	6862	14187
326	6889	14178
327	6912	14161
328	6938	14150
329	6961	14134
330	6982	14113
331	7003	14091
332	7026	14073
333	7048	14054
334	7067	14030
335	7089	14010
336	7110	13988
337	7131	13966
338	7151	13944
339	7171	13920
340	7191	13897
341	7211	13875
342	7232	13852
343	7252	13830
344	7273	13809
345	7295	13789
346	7316	13768
347	7338	13748
348	7357	13724
349	7375	13698
350	7395	13674
351	7414	13650
352	7434	13626
353	7455	13604
354	7476	13584
355	7495	13558
356	7514	13535
357	7541	13523
358	7560	13499
359	7581	13477
360	7599	13451
361	7618	13426
362	7638	13403
363	7659	13383
364	7679	13360
365	7698	13336
366	7717	13311
367	7736	13287
368	7756	13263
369	7775	13239
370	7795	13216
371	7815	13193
372	7834	13170
373	7855	13148
374	7879	13132
375	7901	13113
376	7924	13095
377	7945	13073
378	7964	13050
379	7982	13024
380	8003	13003
381	8031	12994
382	8052	12972
383	8076	12956
384	8099	12938
385	8120	12917
386	8141	12895
387	8164	12877
388	8186	12858
389	8207	12836
390	8228	12816
391	8250	12796
392	8270	12773
393	8290	12751
394	8312	12731
395	8331	12707
396	8349	12682
397	8370	12660
398	8390	12638
399	8410	12615
400	8429	12592
401	8450	12570
402	8470	12548
403	8491	12526
404	8510	12502
405	8530	12480
406	8553	12462
407	8573	12440
408	8594	12419
409	8614	12396
410	8634	12373
411	8654	12351
412	8672	12326
413	8690	12301
414	8709	12277
415	8728	12252
416	8746	12227
417	8765	12204
418	8783	12179
419	8800	12152
420	8818	12128
421	8836	12103
422	8857	12082
423	8880	12063
424	8898	12038
425	8919	12018
426	8938	11994
427	8956	11969
428	8974	11945
429	8993	11921
430	9010	11895
431	9029	11872
432	9048	11848
433	9068	11826
434	9087	11803
435	9106	11779
436	9124	11755
437	9143	11731
438	9160	11706
439	9177	11680
440	9196	11657
441	9214	11632
442	9232	11608
443	9251	11584
444	9269	11560
445	9288	11537
446	9308	11515
447	9328	11494
448	9348	11471
449	9366	11448
450	9386	11425
451	9405	11402
452	9423	11379
453	9442	11355
454	9461	11332
455	9479	11309
456	9498	11285
457	9516	11262
458	9535	11238
459	9557	11219
460	9576	11197
461	9596	11174
462	9615	11152
463	9633	11128
464	9652	11106
465	9673	11084
466	9692	11062
467	9709	11037
468	9727	11013
469	9745	10989
470	9762	10964
471	9781	10942
472	9799	10918
473	9818	10895
474	9837	10873
475	9861	10855
476	9882	10835
477	9902	10814
478	9922	10792
479	9940	10769
480	9959	10746
481	9978	10723
482	9997	10701
483	10015	10678
484	10034	10654
485	10052	10631
486	10073	10611
487	10092	10589
488	10111	10566
489	10130	10544
490	10150	10522
491	10169	10499
492	10187	10476
493	10205	10453
494	10223	10430
495	10242	10407
496	10260	10384
497	10278	10361
498	10296	10338
499	10315	10315
500	10333	10292
501	10352	10269
502	10371	10247
503	10390	10225
504	10408	10202
505	10428	10181
506	10446	10157
507	10464	10135
508	10483	10112
509	10499	10087
510	10518	10065
511	10535	10041
512	10554	10019
513	10575	9999
514	10593	9976
515	10613	9955
516	10632	9933
517	10650	9910
518	10668	9887
519	10686	9864
520	10704	9841
521	10724	9820
522	10742	9797
523	10760	9775
524	10779	9752
525	10800	9732
526	10819	9710
527	10845	9694
528	10871	9679
529	10894	9661
530	10917	9642
531	10937	9621
532	10958	9601
533	10977	9579
534	10997	9558
535	11016	9536
536	11034	9513
537	11054	9492
538	11074	9471
539	11094	9451
540	11112	9428
541	11134	9408
542	11157	9390
543	11177	9369
544	11195	9347
545	11215	9325
546	11233	9303
547	11252	9281
548	11272	9259
549	11292	9239
550	11315	9220
551	11335	9199
552	11355	9178
553	11374	9157
554	11395	9136
555	11415	9115
556	11433	9093
557	11454	9072
558	11473	9051
559	11492	9030
560	11511	9008
561	11531	8986
562	11551	8966
563	11573	8946
564	11599	8930
565	11620	8910
566	11641	8889
567	11663	8870
568	11731	8886
569	11769	8878
570	11800	8865
571	11826	8849
572	11851	8831
573	11873	8812
574	11895	8792
575	11916	8771
576	11936	8750
577	11960	8732
578	11984	8714
579	12010	8696
580	12035	8679
581	12070	8668
582	12107	8660
583	12135	8644
584	12160	8626
585	12184	8608
586	12205	8587
587	12229	8569
588	12251	8549
589	12273	8529
590	12297	8510
591	12321	8492
592	12346	8474
593	12376	8459
594	12408	8446
595	12433	8427
596	12456	8408
597	12481	8390
598	12505	8371
599	12527	8351
600	12553	8334
601	12579	8316
602	12606	8299
603	12627	8279
604	12649	8258
605	12672	8239
606	12693	8218
607	12714	8197
608	12731	8174
609	12751	8152
610	12770	8130
611	12788	8107
612	12808	8086
613	12828	8064
614	12848	8043
615	12867	8021
616	12887	8000
617	12909	7979
618	12930	7959
619	12952	7938
620	12974	7918
621	12996	7898
622	13019	7878
623	13039	7856
624	13059	7835
625	13079	7814
626	13101	7793
627	13122	7773
628	13149	7755
629	13170	7735
630	13192	7714
631	13212	7693
632	13231	7671
633	13251	7649
634	13271	7628
635	13293	7608
636	13317	7588
637	13338	7568
638	13361	7548
639	13383	7528
640	13408	7509
641	13431	7490
642	13456	7471
643	13482	7452
644	13505	7433
645	13531	7415
646	13555	7396
647	13579	7376
648	13604	7357
649	13630	7339
650	13652	7319
651	13675	7299
652	13698	7279
653	13721	7259
654	13745	7240
655	13771	7221
656	13795	7202
657	13818	7182
658	13841	7162
659	13864	7142
660	13887	7122
661	13908	7101
662	13930	7080
663	13951	7059
664	13972	7038
665	13992	7017
666	14013	6996
667	14035	6975
668	14057	6955
669	14080	6935
670	14102	6914
671	14124	6894
672	14146	6873
673	14168	6852
674	14190	6832
675	14212	6812
676	14234	6791
677	14256	6770
678	14277	6749
679	14296	6727
680	14317	6706
681	14336	6684
682	14357	6663
683	14377	6642
684	14397	6620
685	14418	6599
686	14439	6578
687	14460	6557
688	14481	6536
689	14502	6515
690	14523	6494
691	14544	6473
692	14566	6452
693	14585	6431
694	14605	6409
695	14631	6390
696	14653	6370
697	14673	6348
698	14695	6328
699	14714	6306
700	14733	6284
701	14753	6263
702	14774	6241
703	14795	6220
704	14816	6199
705	14838	6179
706	14859	6158
707	14880	6137
708	14901	6116
709	14924	6095
710	14946	6075
711	14966	6053
712	14986	6032
713	15004	6010
714	15024	5988
715	15044	5967
716	15064	5945
717	15083	5924
718	15104	5903
719	15124	5881
720	15144	5860
721	15164	5839
722	15185	5817
723	15205	5796
724	15226	5775
725	15246	5754
726	15267	5733
727	15290	5712
728	15313	5692
729	15334	5671
730	15357	5651
731	15378	5630
732	15400	5609
733	15423	5589
734	15444	5568
735	15470	5549
736	15493	5528
737	15514	5507
738	15534	5486
739	15554	5465
740	15574	5443
741	15595	5422
742	15615	5401
743	15644	5383
744	15671	5364
745	15693	5343
746	15715	5322
747	15736	5301
748	15764	5282
749	15788	5262
750	15850	5255
751	15886	5239
752	15916	5220
753	15936	5199
754	15956	5177
755	15977	5156
756	15998	5135
757	16019	5114
758	16041	5093
759	16063	5072
760	16083	5051
761	16103	5029
762	16123	5008
763	16142	4986
764	16162	4965
765	16182	4943
766	16202	4921
767	16222	4900
768	16242	4879
769	16263	4857
770	16282	4836
771	16303	4814
772	16323	4793
773	16344	4772
774	16363	4750
775	16383	4729
776	16403	4707
777	16425	4687
778	16454	4668
779	16482	4648
780	16509	4629
781	16537	4610
782	16563	4590
783	16590	4570
784	16613	4550
785	16634	4529
786	16658	4508
787	16680	4487
788	16700	4466
789	16720	4444
790	16740	4423
791	16761	4401
792	16781	4380
793	16801	4359
794	16822	4337
795	16840	4315
796	16860	4294
797	16882	4273
798	16902	4252
799	16923	4230
800	16944	4209
801	16963	4188
802	16981	4166
803	17001	4144
804	17021	4123
805	17041	4101
806	17059	4079
807	17078	4058
808	17099	4037
809	17121	4016
810	17142	3995
811	17164	3974
812	17186	3953
813	17209	3932
814	17244	3914
815	17268	3893
816	17295	3874
817	17319	3853
818	17341	3832
819	17363	3811
820	17386	3790
821	17411	3770
822	17435	3749
823	17462	3729
824	17485	3709
825	17507	3688
826	17528	3666
827	17553	3646
828	17576	3625
829	17598	3604
830	17622	3583
831	17649	3563
832	17678	3544
833	17702	3523
834	17723	3502
835	17743	3480
836	17764	3459
837	17785	3438
838	17806	3417
839	17827	3395
840	17846	3374
841	17865	3352
842	17884	3330
843	17904	3309
844	17924	3287
845	17943	3266
846	17963	3244
847	17983	3223
848	18001	3201
849	18020	3180
850	18038	3158
851	18055	3136
852	18075	3115
853	18095	3093
854	18118	3072
855	18142	3051
856	18162	3030
857	18190	3010
858	18215	2989
859	18238	2969
860	18261	2948
861	18282	2926
862	18302	2905
863	18322	2884
864	18341	2862
865	18361	2841
866	18380	2819
867	18402	2798
868	18420	2776
869	18439	2755
870	18457	2733
871	18476	2712
872	18494	2690
873	18512	2668
874	18530	2647
875	18548	2625
876	18566	2603
877	18585	2582
878	18603	2560
879	18621	2539
880	18640	2517
881	18660	2496
882	18681	2475
883	18701	2454
884	18719	2432
885	18738	2411
886	18757	2389
887	18777	2368
888	18796	2346
889	18816	2325
890	18835	2304
891	18856	2283
892	18875	2261
893	18895	2240
894	18915	2219
895	18934	2197
896	18954	2176
897	18973	2155
898	18994	2134
899	19014	2112
900	19034	2091
901	19053	2070
902	19073	2048
903	19093	2027
904	19114	2006
905	19134	1985
906	19153	1963
907	19173	1942
908	19193	1921
909	19212	1900
910	19232	1878
911	19254	1857
912	19274	1836
913	19295	1815
914	19315	1794
915	19334	1773
916	19354	1751
917	19373	1730
918	19394	1709
919	19413	1688
920	19433	1666
921	19453	1645
922	19471	1624
923	19491	1603
924	19509	1581
925	19529	1560
926	19549	1539
927	19568	1518
928	19591	1497
929	19611	1476
930	19631	1454
931	19651	1433
932	19672	1412
933	19694	1391
934	19714	1370
935	19734	1349
936	19753	1328
937	19773	1306
938	19794	1285
939	19815	1264
940	19834	1243
941	19855	1222
942	19875	1201
943	19896	1180
944	19915	1159
945	19934	1137
946	19954	1116
947	19974	1095
948	19992	1074
949	20013	1053
950	20034	1032
951	20054	1011
952	20073	990
953	20097	969
954	20117	947
955	20137	926
956	20157	905
957	20178	884
958	20199	863
959	20219	842
960	20237	821
961	20257	800
962	20278	779
963	20297	758
964	20317	736
965	20337	715
966	20357	694
967	20376	673
968	20395	652
969	20415	631
970	20435	610
971	20455	589
972	20474	568
973	20493	547
974	20513	525
975	20532	504
976	20553	483
977	20573	462
978	20593	441
979	20614	420
980	20633	399
981	20653	378
982	20673	357
983	20695	336
984	20716	315
985	20737	294
986	20757	273
987	20779	252
988	20801	231
989	20821	210
990	20841	189
991	20861	168
992	20881	147
993	20902	126
994	20923	105
995	20943	84
996	20965	63
997	20985	42
998	21005	21
999	21026	0
