iter	Logloss
0	0.6692922861
1	0.6495329481
2	0.6318477345
3	0.6168483315
4	0.6048187811
5	0.5922479154
6	0.581353121
7	0.573436046
8	0.5654888183
9	0.5586649754
10	0.5528730272
11	0.5460407829
12	0.542224971
13	0.5367001985
14	0.5334277164
15	0.5290461174
16	0.5253689938
17	0.5230576772
18	0.5194086311
19	0.517386014
20	0.5155499349
21	0.5127819369
22	0.5112679739
23	0.509696593
24	0.5085821145
25	0.5071151834
26	0.5060009624
27	0.504267873
28	0.5033002501
29	0.5011629121
30	0.4997717482
31	0.4990160022
32	0.4982805049
33	0.4968546795
34	0.4951428247
35	0.494432954
36	0.493777182
37	0.4932306889
38	0.4926571014
39	0.4920968134
40	0.4915648721
41	0.4910763984
42	0.4905820677
43	0.4901324894
44	0.4887481702
45	0.4877660332
46	0.4873310748
47	0.4869615278
48	0.4865858603
49	0.485428765
50	0.4851202284
51	0.4847690917
52	0.4837865322
53	0.4834973209
54	0.4831698535
55	0.4828991022
56	0.4822111689
57	0.4819500253
58	0.4816622132
59	0.4808920675
60	0.4806492008
61	0.4803897366
62	0.4798376785
63	0.4790237994
64	0.4788320476
65	0.4786205401
66	0.478332305
67	0.4775993735
68	0.4774105424
69	0.4771984375
70	0.4768040797
71	0.4765460569
72	0.4762570383
73	0.4760637605
74	0.4758702454
75	0.4753513993
76	0.4748270996
77	0.4746097133
78	0.4741415464
79	0.4738123882
80	0.4734170371
81	0.4732248217
82	0.4728855917
83	0.4726917235
84	0.4725429919
85	0.4722763951
86	0.4721129616
87	0.4719544679
88	0.4718493076
89	0.4716038396
90	0.4714937857
91	0.4711769209
92	0.4710060036
93	0.4707935479
94	0.4706917832
95	0.470537485
96	0.4703031517
97	0.4699486195
98	0.4698373895
99	0.4696736323
100	0.4694846901
101	0.469189215
102	0.4690441349
103	0.4689171916
104	0.4687776052
105	0.4686100326
106	0.4684487818
107	0.468267977
108	0.4681093874
109	0.4679871278
110	0.4678336193
111	0.4677117582
112	0.4675840806
113	0.4674585398
114	0.4673177884
115	0.4672110824
116	0.4670119895
117	0.4668745327
118	0.4667417165
119	0.4665162518
120	0.4663713125
121	0.4662488681
122	0.4660788436
123	0.4659448664
124	0.4657865566
125	0.4657178833
126	0.4655570491
127	0.4654196953
128	0.4651736037
129	0.4650153919
130	0.4648851317
131	0.4647304527
132	0.4646067205
133	0.4644504541
134	0.464321884
135	0.4642105484
136	0.4640262218
137	0.4638865889
138	0.4637880409
139	0.4636812242
140	0.4634930584
141	0.4634170174
142	0.4632923325
143	0.4631938406
144	0.4629915854
145	0.4628313144
146	0.4627125601
147	0.4625517711
148	0.4624296873
149	0.4622420544
150	0.4621467859
151	0.4620298052
152	0.4618521933
153	0.4616685421
154	0.4615409561
155	0.4613860489
156	0.4612311486
